z_km,T_K,n_air_molec_cm3,n_O3_molec_cm3
50.00,270.650,2.134997e+16,6.450000e+11
55.00,260.770,1.181062e+16,2.020000e+11
60.00,247.020,6.438391e+15,7.420000e+10
65.00,233.290,3.393445e+15,3.200000e+10
70.00,219.580,1.721847e+15,9.600000e+09
75.00,208.400,8.299527e+14,3.760000e+09
80.00,198.640,3.835887e+14,1.490000e+09
85.00,188.890,1.709033e+14,6.350000e+08
90.00,186.870,7.116227e+13,2.390000e+08
95.00,188.420,2.920329e+13,8.800000e+07
100.00,195.080,1.188474e+13,2.850000e+07
